number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
18,22.76434305332856,2025-11-12 19:28:59.248998,2025-11-12 19:29:01.407061,0 days 00:00:02.158063,16,2.7012215424444954,5.447189511928628,25,51,0.7091697274556877,72.32841645987133,25.528257642737277,13,COMPLETE
19,26.745446156993015,2025-11-12 19:29:01.408062,2025-11-12 19:29:03.373869,0 days 00:00:01.965807,19,1.8062744795405934,4.596548832639979,22,66,1.096656656815862,75.78567383734168,23.91429119953607,11,COMPLETE
20,-inf,2025-11-12 19:29:03.375869,2025-11-12 19:29:05.474252,0 days 00:00:02.098383,20,2.3204224511097746,3.03486288488266,28,71,0.5858333953263022,79.05943322068919,34.224669538082765,14,COMPLETE
21,35.91953210264462,2025-11-12 19:29:05.475252,2025-11-12 19:29:07.540955,0 days 00:00:02.065703,19,1.9643008287629493,4.372252005103581,29,50,0.11677750559745967,71.40147958012368,24.93051847714484,12,COMPLETE
22,39.90311676063872,2025-11-12 19:29:07.541952,2025-11-12 19:29:09.660451,0 days 00:00:02.118499,19,1.603475217533955,4.003247341776595,30,50,0.17427047483117575,68.97128423726535,20.831581255463046,11,COMPLETE
23,44.876690831932265,2025-11-12 19:29:09.660451,2025-11-12 19:29:11.723489,0 days 00:00:02.063038,17,1.6710643606831486,4.1484106662607525,25,61,0.25024213858839894,68.4876057815154,20.291350658477402,10,COMPLETE
24,34.87940633611512,2025-11-12 19:29:11.723489,2025-11-12 19:29:13.851006,0 days 00:00:02.127517,17,1.7094439195312459,3.493464134258952,21,62,0.24512136538292673,66.12357580012743,20.39055120385486,10,COMPLETE
25,22.501885470988515,2025-11-12 19:29:13.852006,2025-11-12 19:29:15.838387,0 days 00:00:01.986381,17,1.520846337268525,5.06943200154597,25,54,0.8383497280239145,68.79393334615534,26.603659702401462,10,COMPLETE
26,36.5439343482079,2025-11-12 19:29:15.839391,2025-11-12 19:29:17.899471,0 days 00:00:02.060080,16,1.6897840340568535,4.157365005989415,24,62,1.1773270238831672,74.63957144110361,23.869495482784224,11,COMPLETE
27,28.758005827867997,2025-11-12 19:29:17.899471,2025-11-12 19:29:20.013762,0 days 00:00:02.114291,15,2.5480354690848475,5.558612224784952,19,73,0.5147477960779432,72.58364020615886,21.60824234140798,12,COMPLETE
28,-inf,2025-11-12 19:29:20.014760,2025-11-12 19:29:22.005080,0 days 00:00:01.990320,18,2.1646543842228,3.6516100491779295,27,77,0.3366349901779437,67.71855764315733,28.138462329564394,14,COMPLETE
29,38.6045248188996,2025-11-12 19:29:22.006081,2025-11-12 19:29:24.230431,0 days 00:00:02.224350,17,1.9052178185115751,5.6351894778263665,25,67,0.9403376306519404,69.82931269400683,25.70725246244562,10,COMPLETE
30,35.07750738223589,2025-11-12 19:29:24.231430,2025-11-12 19:29:26.274175,0 days 00:00:02.042745,20,1.6480736495070358,4.875418779120652,22,60,0.761843828034952,74.73443446842877,20.075995309041172,11,COMPLETE
31,39.68727182061962,2025-11-12 19:29:26.275175,2025-11-12 19:29:28.392727,0 days 00:00:02.117552,19,1.6118279217132903,3.9884094621818,28,53,0.22909565645898017,68.6543829956644,21.224945854507776,11,COMPLETE
32,1.2255633422297052,2025-11-12 19:29:28.393728,2025-11-12 19:29:30.412351,0 days 00:00:02.018623,19,1.52429301617991,4.098394915327982,24,44,0.26102763405637996,68.4414668757862,23.18650471963874,11,COMPLETE
33,17.25759414314215,2025-11-12 19:29:30.413351,2025-11-12 19:29:32.501768,0 days 00:00:02.088417,18,1.7247030545117825,3.782056267326055,29,40,0.4461516383324452,66.1686199369822,21.877634277890397,10,COMPLETE
34,28.627804269726276,2025-11-12 19:29:32.502771,2025-11-12 19:29:34.477501,0 days 00:00:01.974730,20,1.6052646662465577,4.533724959582011,26,55,0.16459610830480387,73.45690724472352,23.24499694279391,12,COMPLETE
