number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
75,-inf,2025-11-12 21:01:30.189200,2025-11-12 21:01:32.165361,0 days 00:00:01.976161,10,1.5617003262565665,4.925565831084037,13,120,0.6248876825871856,65.81417253527516,25.48108866952382,16,COMPLETE
76,-inf,2025-11-12 21:01:32.166362,2025-11-12 21:01:34.198182,0 days 00:00:02.031820,12,2.408564604736139,4.448103512440821,14,81,0.4755754049923242,72.45253015480341,29.59686772312004,13,COMPLETE
77,-inf,2025-11-12 21:01:34.199182,2025-11-12 21:01:36.200855,0 days 00:00:02.001673,15,2.1122262608229985,4.316294579229306,11,70,0.15056617373064268,77.82267189668961,26.98633800409509,20,COMPLETE
78,-inf,2025-11-12 21:01:36.201855,2025-11-12 21:01:38.100574,0 days 00:00:01.898719,10,2.3805644877486403,4.124832887585711,14,52,0.28661649131421046,71.44429900075492,21.66487201109322,18,COMPLETE
79,-inf,2025-11-12 21:01:38.101574,2025-11-12 21:01:40.145982,0 days 00:00:02.044408,16,2.064304798102465,3.991746827055091,17,62,0.3187224085992366,65.31577419635484,22.163435741111165,12,COMPLETE
80,-inf,2025-11-12 21:01:40.145982,2025-11-12 21:01:42.021796,0 days 00:00:01.875814,14,2.4419595447309104,4.70163363188532,10,74,0.6539761377926627,69.0055178176913,24.709621588084953,17,COMPLETE
81,-inf,2025-11-12 21:01:42.021796,2025-11-12 21:01:44.004196,0 days 00:00:01.982400,10,1.8561587089867937,3.288851706780907,18,100,0.7231566272215304,76.16584402416399,31.884761823286848,19,COMPLETE
82,-inf,2025-11-12 21:01:44.005196,2025-11-12 21:01:45.956731,0 days 00:00:01.951535,11,1.8843586015954186,3.8260161506018138,15,107,0.7768618890363168,78.37373141974247,31.2901702182375,18,COMPLETE
83,-inf,2025-11-12 21:01:45.957731,2025-11-12 21:01:47.943550,0 days 00:00:01.985819,13,1.8349455671344863,3.2102987601821438,13,93,0.7526925207040607,77.25122880699855,33.679069702525254,18,COMPLETE
84,-inf,2025-11-12 21:01:47.944550,2025-11-12 21:01:49.875803,0 days 00:00:01.931253,10,1.94492910204533,3.0605328585523224,8,117,0.6924590862390825,73.89178250103252,23.63128367982999,19,COMPLETE
85,-inf,2025-11-12 21:01:49.876803,2025-11-12 21:01:51.825768,0 days 00:00:01.948965,11,1.7716977940874745,3.725638885533622,12,55,0.7260813509336908,74.65369016140677,32.26582375435495,16,COMPLETE
86,-inf,2025-11-12 21:01:51.826769,2025-11-12 21:01:53.780658,0 days 00:00:01.953889,11,1.7260493224919118,4.607105218108566,9,104,0.5964671044387104,75.5495509567684,33.70180813986144,17,COMPLETE
87,-inf,2025-11-12 21:01:53.781659,2025-11-12 21:01:55.680069,0 days 00:00:01.898410,12,1.527722373460014,3.007259147728259,15,78,0.795366857867681,76.754307404531,21.40073429423943,15,COMPLETE
88,-inf,2025-11-12 21:01:55.680069,2025-11-12 21:01:57.701824,0 days 00:00:02.021755,10,2.3231795860260998,3.3277323837066426,8,87,0.36418264689881336,73.19589635340091,23.02046679888513,19,COMPLETE
89,-inf,2025-11-12 21:01:57.702824,2025-11-12 21:01:59.643523,0 days 00:00:01.940699,11,1.5987882644629983,4.845627964776407,9,52,0.40918273968993246,73.51490200742745,30.89437344528417,17,COMPLETE
90,-inf,2025-11-12 21:01:59.644523,2025-11-12 21:02:01.567587,0 days 00:00:01.923064,19,2.262039783256191,4.367236668345599,16,113,0.45111004305793995,68.2668803096505,22.003140478140956,18,COMPLETE
91,-inf,2025-11-12 21:02:01.567587,2025-11-12 21:02:03.514197,0 days 00:00:01.946610,18,2.1133119941354925,4.7426664495408275,16,65,0.23837214189043937,70.12272818480025,26.22233345832328,12,COMPLETE
92,-inf,2025-11-12 21:02:03.514197,2025-11-12 21:02:05.553159,0 days 00:00:02.038962,13,2.016066914938071,4.79918082171631,17,72,0.27635903048124766,67.4996450669933,24.183674320486393,12,COMPLETE
93,-inf,2025-11-12 21:02:05.553159,2025-11-12 21:02:07.499026,0 days 00:00:01.945867,20,1.973314741387596,4.931113821874992,15,75,0.2132056703292384,68.0897131856879,25.316331799108283,13,COMPLETE
94,-inf,2025-11-12 21:02:07.500026,2025-11-12 21:02:09.398968,0 days 00:00:01.898942,18,2.209428711713178,3.581823190212747,17,50,0.2607557787596331,67.19251952514799,28.13991768946581,12,COMPLETE
95,-inf,2025-11-12 21:02:09.399969,2025-11-12 21:02:11.346841,0 days 00:00:01.946872,16,1.8361532209901894,4.8775679576388775,14,70,0.49758949785255097,69.51848526751316,23.62996381329516,12,COMPLETE
96,-inf,2025-11-12 21:02:11.347843,2025-11-12 21:02:13.350893,0 days 00:00:02.003050,19,1.9263889982730495,4.955655904354908,11,68,0.7062210894844976,68.9527169190802,22.84956933294841,13,COMPLETE
97,-inf,2025-11-12 21:02:13.350893,2025-11-12 21:02:15.223764,0 days 00:00:01.872871,14,2.2298810698993927,4.6752847141094955,14,84,0.5234214182873367,72.92588744385829,24.68248460079502,18,COMPLETE
98,-inf,2025-11-12 21:02:15.223764,2025-11-12 21:02:17.159344,0 days 00:00:01.935580,10,2.141678450188968,4.785136889596108,12,76,0.6803663936622897,74.10114024448471,22.405127326465948,16,COMPLETE
99,-inf,2025-11-12 21:02:17.160346,2025-11-12 21:02:19.176162,0 days 00:00:02.015816,15,2.003845510815326,4.182470354739407,16,80,0.30089307377515484,70.39902096219895,25.890954538023433,20,COMPLETE
100,-inf,2025-11-12 21:02:19.176162,2025-11-12 21:02:21.134328,0 days 00:00:01.958166,12,2.0507952273977956,4.823268845321542,10,118,0.43734791405267076,75.21861270011466,21.02540182231412,17,COMPLETE
101,-inf,2025-11-12 21:02:21.135328,2025-11-12 21:02:23.146146,0 days 00:00:02.010818,19,1.570845829973072,4.2545060877319285,20,95,0.49588337577615915,78.46804572378988,20.5854193217509,15,COMPLETE
102,-inf,2025-11-12 21:02:23.147145,2025-11-12 21:02:25.108888,0 days 00:00:01.961743,17,1.9563208002882055,4.504632642192894,19,89,0.549893700424914,77.32766550194668,31.606275965377886,12,COMPLETE
103,-inf,2025-11-12 21:02:25.109888,2025-11-12 21:02:27.052283,0 days 00:00:01.942395,20,1.5058002090533051,4.5829545284499,13,97,0.6577206489842095,79.39988725415711,24.046290111989116,14,COMPLETE
104,-inf,2025-11-12 21:02:27.053284,2025-11-12 21:02:29.001115,0 days 00:00:01.947831,16,1.5471619139941408,3.9595778755831885,20,106,0.4719701213824024,66.76717942766622,23.46410772469728,13,COMPLETE
105,-inf,2025-11-12 21:02:29.001115,2025-11-12 21:02:30.880465,0 days 00:00:01.879350,17,2.29107596189171,4.898148542281829,15,98,0.730394395028264,78.79035066037007,27.839057730666852,16,COMPLETE
106,72.73058197223445,2025-11-12 21:02:30.881465,2025-11-12 21:02:32.891778,0 days 00:00:02.010313,13,1.6517889295952637,4.460576375751586,12,92,0.6334174469731814,76.55290026545445,32.86991340125168,12,COMPLETE
107,-inf,2025-11-12 21:02:32.892702,2025-11-12 21:02:34.862126,0 days 00:00:01.969424,14,1.6649373923720547,4.610901493305028,12,87,0.6265078344602607,77.74899003929599,33.74616701341717,12,COMPLETE
108,-inf,2025-11-12 21:02:34.863126,2025-11-12 21:02:36.744631,0 days 00:00:01.881505,13,1.6425812705554979,4.526058611734678,11,115,0.638495948252055,76.66725792573494,32.721428398548056,12,COMPLETE
109,-inf,2025-11-12 21:02:36.745631,2025-11-12 21:02:38.752169,0 days 00:00:02.006538,13,2.4909567798714765,4.472615337343436,13,91,0.6972128497447871,66.22017688613909,32.272834629535026,19,COMPLETE
110,-inf,2025-11-12 21:02:38.752169,2025-11-12 21:02:40.686937,0 days 00:00:01.934768,10,2.377421666365109,4.741159137446278,12,73,0.5885626230741816,76.01170655454793,33.028322384141795,12,COMPLETE
111,-inf,2025-11-12 21:02:40.687937,2025-11-12 21:02:42.695278,0 days 00:00:02.007341,18,1.6232653981530025,4.699486702664425,18,94,0.5400431868332009,79.54709512126321,30.125725088386353,18,COMPLETE
112,-inf,2025-11-12 21:02:42.696277,2025-11-12 21:02:44.599416,0 days 00:00:01.903139,14,1.5784152024353064,4.409910345395022,13,102,0.6146875921460417,74.47734190040676,22.66308200305802,13,COMPLETE
113,-inf,2025-11-12 21:02:44.600417,2025-11-12 21:02:46.582956,0 days 00:00:01.982539,11,1.6059074138856138,4.644380583222334,16,99,0.565768637508108,76.96024606725534,29.1896206067461,14,COMPLETE
114,-inf,2025-11-12 21:02:46.583954,2025-11-12 21:02:48.565340,0 days 00:00:01.981386,12,1.5239993884549234,4.354922989172211,12,109,0.5145692437589453,76.44711211821442,32.354434775591784,12,COMPLETE
115,-inf,2025-11-12 21:02:48.566341,2025-11-12 21:02:50.449585,0 days 00:00:01.883244,15,1.749386325296643,4.196316056100013,14,111,0.42860886092927253,72.59849099189678,21.731400455279147,12,COMPLETE
116,-inf,2025-11-12 21:02:50.449585,2025-11-12 21:02:52.426954,0 days 00:00:01.977369,10,1.7964178759512524,4.4617647205763245,17,91,0.6742458854889735,77.58846462328728,23.09722725909043,16,COMPLETE
117,-inf,2025-11-12 21:02:52.426954,2025-11-12 21:02:54.316689,0 days 00:00:01.889735,12,1.7091058086309228,3.3706598518663196,15,53,0.34205702889138023,73.78697321334243,33.29782751019869,13,COMPLETE
118,-inf,2025-11-12 21:02:54.317689,2025-11-12 21:02:56.374726,0 days 00:00:02.057037,15,1.5440373248701775,3.4867847594022465,12,56,0.45329298295842635,71.80144476872204,34.721739453372244,17,COMPLETE
119,-inf,2025-11-12 21:02:56.375726,2025-11-12 21:02:58.329366,0 days 00:00:01.953640,17,2.45492432617359,4.074615303001921,11,64,0.1748278247593098,75.66498374736102,21.30200539503944,12,COMPLETE
120,-inf,2025-11-12 21:02:58.330366,2025-11-12 21:03:00.326232,0 days 00:00:01.995866,13,1.8844961159756033,3.1552774907571637,16,61,0.6609810343702521,73.24818291805467,31.954756900872546,15,COMPLETE
121,-inf,2025-11-12 21:03:00.327232,2025-11-12 21:03:02.299845,0 days 00:00:01.972613,12,1.908826643397545,3.774851926264689,19,54,0.5074232471355995,79.0861931983935,22.1488511756708,20,COMPLETE
122,-inf,2025-11-12 21:03:02.300845,2025-11-12 21:03:04.269064,0 days 00:00:01.968219,11,1.7280572531503395,3.680076366238904,20,51,0.47809982654007754,78.52676438970644,24.901250503825825,20,COMPLETE
